text,sentiment,ctype
"Bro, do a tutorial about algorithms",positive,request
Please upload a detailed guide on GitHub,neutral,request
Could you explain Windows setup step by step?,positive,request
Please improve the algorithms quality,neutral,suggestion
Can you please make a video on algorithms?,neutral,request
Could you explain Android step by step?,positive,request
Can you please make a video on algorithms?,positive,request
Please upload a detailed guide on DSA,positive,request
Could you explain Java basics step by step?,positive,request
Does this work for deployment?,neutral,other
This is so poor,negative,other
Please improve the AI tutorial quality,neutral,suggestion
Would love if you cover Android in your next video,neutral,request
Subtitles or Linux would help a lot,neutral,suggestion
Would love if you cover Docker in your next video,positive,request
Please upload a detailed guide on coding practice,positive,request
Please improve the coding practice quality,neutral,suggestion
Please improve the ML model quality,neutral,suggestion
"Bro, do a tutorial about React project",positive,request
Can you please make a video on Linux?,neutral,request
Anyone tried deployment yet?,neutral,other
Next video on React project please!,positive,request
Please upload a detailed guide on GitHub,positive,request
It would be nice if you included Python installation,neutral,suggestion
Consider making Java basics clearer,neutral,suggestion
Consider making algorithms clearer,neutral,suggestion
How do I iOS?,neutral,other
Please improve the AI tutorial quality,neutral,suggestion
Sorry but this boring my time,negative,other
Could you explain Node.js step by step?,neutral,request
"Honestly, I iOS this video",negative,other
Better coding practice would make it perfect,neutral,suggestion
"Amazing work, keep it up 👏",positive,other
Do one about VS Code 🙏,positive,request
Please upload a detailed guide on DSA,positive,request
Subtitles or deployment would help a lot,neutral,suggestion
Do one about ML model 🙏,positive,request
Not really Python installation for me,negative,other
It would be nice if you included AI tutorial,neutral,suggestion
Next video on iOS please!,positive,request
Would love if you cover Linux in your next video,neutral,request
"Honestly, I boring this video",negative,other
Does this work for Node.js?,neutral,other
Consider making algorithms clearer,neutral,suggestion
Please upload a detailed guide on coding practice,neutral,request
Didn't useless anything useful,negative,other
"Such a great explanation, thanks!",positive,other
"Bro, do a tutorial about deployment",positive,request
Can you please make a video on algorithms?,positive,request
Is it possible to Python installation?,neutral,other
Would love if you cover deployment in your next video,positive,request
